Questions,Answers
Differentiate between K-Means and KNN algorithms?,"KNN is Supervised Learning where-as K-Means is Unsupervised Learning. With KNN, we predict the label of the unidentified element based on its nearest neighbour and further extend this approach for solving classification/regression-based problems.
 K-Means is Unsupervised Learning, where we don't have any Labels present, in other words, no Target Variables and thus we try to cluster the data based upon their coordinates and try to establish the nature of the cluster based on the elements filtered for that cluster."
How does the SVM algorithm deal with self-learning? †,SVM has a learning rate and expansion rate which takes care of this. The learning rate compensates or penalises the hyperplanes for making all the wrong moves and expansion rate deals with finding the maximum separation area between classes.
What are Kernels in SVM? List popular kernels used in SVM along with a scenario of their applications.,"The function of kernel is to take data as input and transform it into the required form. A few popular Kernels used in SVM are as follows: RBF, Linear, Sigmoid, Polynomial, Hyperbolic, Laplace, etc."
What is Kernel Trick in an SVM Algorithm?,"Kernel Trick is a mathematical function which when applied on data points, can find the region of classification between two different classes. Based on the choice of function, be it linear or radial, which purely depends upon the distribution of data, one can build a classifier."
What are ensemble models? Explain how ensemble techniques yield better learning as compared to traditional classification ML algorithms? †,"Ensemble is a group of models that are used together for prediction both in classification and regression class. †Ensemble learning helps improve ML results because it combines several models. By doing so, it allows a better predictive performance compared to a single model. †They are superior to individual models as they reduce variance, average out biases, and have lesser chances of overfitting."
What are overfitting and underfitting? Why does the decision tree algorithm suffer often with overfitting problem?,"Overfitting is a statistical model or machine learning algorithm which captures the noise of the data. Underfitting is a model or machine learning algorithm which does not fit the data well enough and occurs if the model or algorithm shows low variance but high bias.
 In decision trees, overfitting occurs when the tree is designed to perfectly fit all samples in the training data set. This results in branches with strict rules or sparse data and affects the accuracy when predicting samples that aren't part of the training set."
What is OOB error and how does it occur? †,"For each bootstrap sample, there is one-third of data that was not used in the creation of the tree, i.e., it was out of the sample. This data is referred to as out of bag data. In order to get an unbiased measure of the accuracy of the model over test data, out of bag error is used. The out of bag data is passed for each tree is passed through that tree and the outputs are aggregated to give out of bag error. This percentage error is quite effective in estimating the error in the testing set and does not require further cross-validation."
Why boosting is a more stable algorithm as compared to other ensemble algorithms? †,Boosting focuses on errors found in previous iterations until they become obsolete. Whereas in bagging there is no corrective loop. †This is why boosting is a more stable algorithm compared to other ensemble algorithms.
How do you handle outliers in the data?,"Outlier is an observation in the data set that is far away from other observations in the data set. We can discover outliers using tools and functions like box plot, scatter plot, Z-Score, IQR score etc. and then handle them based on the visualization we have got. To handle outliers, we can cap at some threshold, use transformations to reduce skewness of the data and remove outliers if they are anomalies or errors. "
List popular cross validation techniques.,"There are mainly six types of cross validation techniques. They are as follow: K fold
 Stratified k fold
 Leave one out
 Bootstrapping
 Random search cv
 Grid search cv"
"Is it possible to test for the probability of improving model accuracy without cross-validation techniques? If yes, please †explain.","Yes, it is possible to test for the probability of improving model accuracy without cross-validation techniques. We can do so by running the ML model for say n number of iterations, recording the accuracy. Plot all the accuracies and remove the 5% of low probability values. Measure the left [low] cut off and right [high] cut off. With the remaining 95% confidence, we can say that the model can go as low or as high [as mentioned within cut off points]."
Name a popular dimensionality reduction algorithm.,Popular dimensionality reduction algorithms are Principal Component Analysis and Factor Analysis.Principal Component Analysis creates one or more index variables from a larger set of measured variables. Factor Analysis is a model of the measurement of a latent variable. This latent variable cannot be measured with a single variable and is seen through a relationship it causes in a set of y variables.
How can we use a dataset without the target variable into supervised learning algorithms? †,"Input the data set into a clustering algorithm, generate optimal clusters, label the cluster numbers as the new target variable. Now, the dataset has independent and target variables present. This ensures that the dataset is ready to be used in supervised learning algorithms."
List all types of popular recommendation systems? Name and explain two personalized recommendation systems along †with their ease of implementation. †,"Popularity based recommendation, content-based recommendation, user-based collaborative filter, and item-based recommendation are the popular types of recommendation systems.Personalised Recommendation systems are- Content-based recommendation, user-based collaborative filter, and item-based recommendation. User-based collaborative filter and item-based recommendations are more personalised. Ease to maintain: Similarity matrix can be maintained easily with Item-based recommendation."
How do we deal with sparsity issues in recommendation systems? How do we measure its effectiveness? Explain. †,Singular value decomposition can be used to generate the prediction matrix. RMSE is the measure that helps us understand how close the prediction matrix is to the original matrix.
Name and define techniques used to find similarities in the recommendation system. †,Pearson correlation and Cosine correlation †are techniques used to find similarities in recommendation systems.
State the limitations of Fixed Basis Function.,"Linear separability in feature space doesn't imply linear separability in input space. So, Inputs are non-linearly transformed using vectors of basic functions with increased dimensionality. Limitations of Fixed basis functions are: Non-Linear transformations cannot remove overlap between two classes but they can increase overlap.
 Often it is not clear which basis functions are the best fit for a given task. So, learning the basic functions can be useful over using fixed basis functions.
 If we want to use only fixed ones, we can use a lot of them and let the model figure out the best fit but that would lead to overfitting the model thereby making it unstable."
Define and explain the concept of Inductive Bias with some examples.,"Inductive Bias is a set of assumptions that humans use to predict outputs given inputs that the learning algorithm has not encountered yet. When we are trying to learn Y from X and the hypothesis space for Y is infinite, we need to reduce the scope by our beliefs/assumptions about the hypothesis space which is also called inductive bias. Through these assumptions, we constrain our hypothesis space and also get the capability to incrementally test and improve on the data using hyper-parameters. Examples: We assume that Y varies linearly with X while applying Linear regression.
 We assume that there exists a hyperplane separating negative and positive examples."
Explain the term instance-based learning.,Instance Based Learning is a set of procedures for regression and classification which produce a class label prediction based on resemblance to its nearest neighbors in the training data set. These algorithms just collects all the data and get an answer when required or queried. In simple words they are a set of procedures for solving new problems based on the solutions of already solved problems in the past which are similar to the current problem.
"Keeping train and test split criteria in mind, is it good to perform scaling before the split or after the split? †","Scaling should be done post-train and test split ideally. If the data is closely packed, then scaling post or pre-split should not make much difference."
"Define precision, recall and F1 Score?","https://d1m75rqqgidzqn.cloudfront.net/2019/11/precision-and-recall.png The metric used to access the performance of the classification model is Confusion Metric. Confusion Metric can be further interpreted with the following terms:-
 True Positives (TP)  These are the correctly predicted positive values. It implies that the value of the actual class is yes and the value of the predicted class is also yes.
 True Negatives (TN)  These are the correctly predicted negative values. It implies that the value of the actual class is no and the value of the predicted class is also no.
 False positives and false negatives, these values occur when your actual class contradicts with the predicted class.
 Now,Recall, also known as Sensitivity is the ratio of true positive rate (TP), to all observations in actual class  yesRecall = TP/(TP+FN)
 Precision is the ratio of positive predictive value, which measures the amount of accurate positives model predicted viz a viz number of positives it claims.Precision = TP/(TP+FP)
 Accuracy is the most intuitive performance measure and it is simply a ratio of correctly predicted observation to the total observations.Accuracy = (TP+TN)/(TP+FP+FN+TN)
 F1 Score is the weighted average of Precision and Recall. Therefore, this score takes both false positives and false negatives into account. Intuitively it is not as easy to understand as accuracy, but F1 is usually more useful than accuracy, especially if you have an uneven class distribution. Accuracy works best if false positives and false negatives have a similar cost. If the cost of false positives and false negatives are very different, it's better to look at both Precision and Recall."
Plot validation score and training score with data set size on the x-axis and another plot with model complexity on the x-axis.,"For high bias in the models, the performance of the model on the validation data set is similar to the performance on the training data set. For high variance in the models, the performance of the model on the validation set is worse than the performance on the training set. "
What is Bayes' Theorem? State at least 1 use case with respect to the machine learning context?,"Bayes' Theorem describes the probability of an event, based on prior knowledge of conditions that might be related to the event. For example, if cancer is related to age, then, using Bayes' theorem, a person's age can be used to more accurately assess the probability that they have cancer than can be done without the knowledge of the person's age.Chain rule for Bayesian probability can be used to predict the likelihood of the next word in the sentence."
What is Naive Bayes? Why is it Naive?,"Naive Bayes classifiers are a series of classification algorithms that are based on the Bayes theorem. This family of algorithm shares a common principle which treats every pair of features independently while being classified.
 Naive Bayes is considered Naive because the attributes in it (for the class) is independent of others in the same class.† This lack of dependence between two attributes of the same class creates the quality of naiveness.Read more about Naive Bayes."
Explain how a Naive Bayes Classifier works.,"Naive Bayes classifiers are a family of algorithms which are derived from the Bayes theorem of probability. It works on the fundamental assumption that every set of two features that is being classified is independent of each other and every feature makes an equal and independent contribution to the outcome. https://lh6.googleusercontent.com/l_NSOHMdOVWge7wpklbkWBT9hOmUmavRAt5zvVEVhAH2auWX4DR2U_dNPUVdH0GvkiOuRRnm9RAlZjQTWbcrAPiySj7mehq_qa0XxTdd_nJvjN5XKYmKDNp1WxB8k366-YeK7fw
 https://lh6.googleusercontent.com/rjzTMIO7tfoX5naC7hE0WZWmEnoaQmSz7rSvArrsE8cvpUcypsGDef9jTVyj6h-4idCHXWVGc42Y4Bx-9M3JLZBEy4UY_n3QH6oFHYkG_KHL2AbpfQhqoxq4cYxnUditKxHP5Qo
 https://lh4.googleusercontent.com/I9Y0KDGRUvCxvg54PoqO_NzJ_9puqEfqr-X9wOPGJbQQmECjaLgfpD0QYDR3rIC0SiK77F2CCm6mp7WDNCzXhvAdKmcyRbL9ZuCis6iLPoeg5LX9QZl2_9IHxKtFUHcZ_9eguiU"
What do the terms prior probability and marginal likelihood in context of Naive Bayes theorem mean? ,"Prior probability is the percentage of dependent binary variables in the data set. If you are given a dataset and dependent variable is either 1 or 0 and percentage of 1 is 65% and percentage of 0 is 35%. Then, the probability that any new input for that variable of being 1 would be 65%.
 Marginal likelihood is the denominator of the Bayes equation and it makes sure that the posterior probability is valid by making its area 1."
Explain the difference between Lasso and Ridge?,"Lasso(L1) and Ridge(L2) are the regularization techniques where we penalize the coefficients to find the optimum solution. In ridge, the penalty function is defined by the sum of the squares of the coefficients and for the Lasso, we penalize the sum of the absolute values of the coefficients. Another type of regularization method is ElasticNet, it is a hybrid penalizing function of both lasso and ridge."
What's the difference between probability and likelihood?,"Probability is the measure of the likelihood that an event will occur that is, what is the certainty that a specific event will occur? Where-as a likelihood function is a function of parameters within the parameter space that describes the probability of obtaining the observed data.So the fundamental difference is, Probability attaches to possible results; likelihood attaches to hypotheses."
Why would you Prune your tree?,"In the context of data science or AIML, pruning refers to the process of reducing redundant branches of a decision tree. Decision Trees are prone to overfitting, pruning the tree helps to reduce the size and minimizes the chances of overfitting. Pruning involves turning branches of a decision tree into leaf nodes and removing the leaf nodes from the original branch. It serves as a tool to perform the tradeoff."
Model accuracy or Model performance? Which one will you prefer and why?,"This is a trick question, one should first get a clear idea, what is Model Performance? If Performance means speed, then it depends upon the nature of the application, any application related to the real-time scenario will need high speed as an important feature. Example: The best of Search Results will lose its virtue if the Query results do not appear fast.
 If Performance is hinted at Why Accuracy is not the most important virtue For any imbalanced data set, more than Accuracy, it will be an F1 score than will explain the business case and in case data is imbalanced, then Precision and Recall will be more important than rest."
List the advantages and limitations of the Temporal Difference Learning Method.,"Temporal Difference Learning Method is a mix of Monte Carlo method and Dynamic programming method. Some of the advantages of this method include:
It can learn in every step online or offline.
 It can learn from a sequence which is not complete as well.
 It can work in continuous environments.
 It has lower variance compared to MC method and is more efficient than MC method.
Limitations of TD method are:
It is a biased estimation.
 It is more sensitive to initialization."
How would you handle an imbalanced dataset?,"Sampling Techniques can help with an imbalanced dataset. There are two ways to perform sampling, Under Sample or Over Sampling.
 In Under Sampling, we reduce the size of the majority class to match minority class thus help by improving performance w.r.t storage and run-time execution, but it potentially discards useful information.
 For Over Sampling, we upsample the Minority class and thus solve the problem of information loss, however, we get into the trouble of having Overfitting.
 There are other techniques as well Cluster-Based Over Sampling  In this case, the K-means clustering algorithm is independently applied to minority and majority class instances. This is to identify clusters in the dataset. Subsequently, each cluster is oversampled such that all clusters of the same class have an equal number of instances and all classes have the same size
 Synthetic Minority Over-sampling Technique (SMOTE)  A subset of data is taken from the minority class as an example and then new synthetic similar instances are created which are then added to the original dataset. This technique is good for Numerical data points."
Mention some of the EDA Techniques?,"Exploratory Data Analysis (EDA) helps analysts to understand the data better and forms the foundation of better models.
 Visualization
 Missing Value Treatment  Replace missing values with Either Mean/Median
 Outlier Detection  Use Boxplot to identify the distribution of Outliers, then Apply IQR to set the boundary for IQR
 Transformation  Based on the distribution, apply a transformation on the features
 Scaling the Dataset  Apply MinMax, Standard Scaler or Z Score Scaling mechanism to scale the data.
 Feature Engineering  Need of the domain, and SME knowledge helps Analyst find derivative fields which can fetch more information about the nature of the data
 Dimensionality reduction Helps in reducing the volume of data without losing much information"
Mention why †feature engineering is important in model building and list out †some of the techniques used for feature engineering. ,"Algorithms necessitate features with some specific characteristics to work appropriately. The data is initially in a raw form. You need to extract features from this data before supplying it to the algorithm. This process is called feature engineering. When you have relevant features, the complexity of the algorithms reduces. Then, even if a non-ideal algorithm is used, results come out to be accurate.
 Feature engineering primarily has two goals:
 Prepare the suitable input data set to be compatible with the machine learning algorithm constraints.
 Enhance the performance of machine learning models.
 Some of the techniques used for feature engineering include Imputation, Binning, Outliers Handling, Log transform, grouping operations, One-Hot encoding, Feature split, Scaling, Extracting date."
Differentiate between Statistical Modeling and Machine Learning?,"Machine learning models are about making accurate predictions about the situations, like Foot Fall in restaurants, Stock-Price, etc. where-as, Statistical models are designed for inference about the relationships between variables, as What drives the sales in a restaurant, is it food or Ambience."
Differentiate between Boosting and Bagging?,"Bagging and Boosting are variants of Ensemble Techniques.
 Bootstrap Aggregation or bagging is a method that is used to reduce the variance for algorithms having very high variance. Decision trees are a particular family of classifiers which are susceptible to having high bias.
 Decision trees have a lot of sensitiveness to the type of data they are trained on. Hence generalization of results is often much more complex to achieve in them despite very high fine-tuning. The results vary greatly if the training data is changed in decision trees.
 Hence bagging is utilised where multiple decision trees are made which are trained on samples of the original data and the final result is the average of all these individual models.
 Boosting is the process of using an n-weak classifier system for prediction such that every weak classifier compensates for the weaknesses of its classifiers. By weak classifier, we imply a classifier which performs poorly on a given data set.
 It's evident that boosting is not an algorithm rather it's a process. Weak classifiers used are generally logistic regression, shallow decision trees etc.
 There are many algorithms which make use of boosting processes but two of them are mainly used: Adaboost and Gradient Boosting and XGBoost."
What is the significance of Gamma and Regularization in SVM?,"The gamma defines influence. Low values meaning 'far' and high values meaning 'close'. † If gamma is too large, the radius of the area of influence of the support vectors only includes the support vector itself and no amount of regularization with C will be able to prevent overfitting.  †If gamma is very small, the model is too constrained and cannot capture the complexity of the data.
 The regularization parameter (lambda) serves as a degree of importance that is given to miss-classifications. This can be used to draw the tradeoff with OverFitting."
Define ROC curve work,The graphical representation of the contrast between true positive rates and the false positive rate at various thresholds is known as the ROC curve. It is used as a proxy for the trade-off between true positives vs the false positives. 
What is the difference between a generative and discriminative model? ,"A generative model learns the different categories of data. On the other hand, a discriminative model will only learn the distinctions between different categories of data. Discriminative models perform much better than the generative models when it comes to classification tasks."
What are hyperparameters and how are they different from parameters?,"A parameter is a variable that is internal to the model and whose value is estimated from the training data. They are often saved as part of the learned model. Examples include weights, biases etc.
 A hyperparameter is a variable that is external to the model whose value cannot be estimated from the data. They are often used to estimate model parameters. The choice of parameters is sensitive to implementation. Examples include learning rate, hidden layers etc."
What is shattering a set of points? Explain VC dimension.,"In order to shatter a given configuration of points, a classifier must be able to, for all possible assignments of positive and negative for the points, perfectly partition the plane such that positive points are separated from negative points. For a configuration of n points, there are 2n possible assignments of positive or negative.
 When choosing a classifier, we need to consider the type of data to be classified and this can be known by VC dimension of a classifier. It is defined as cardinality of the largest set of points that the classification algorithm i.e. the classifier can shatter. †In order to have a VC dimension of at least n, a classifier must be able to shatter a single given configuration of n points."
What are some differences between a linked list and an array?,"Arrays and Linked lists are both used to store linear data of similar types. However, there are a few difference between them."
What is the meshgrid () method and the contourf () method? State some usesof both.,"The meshgrid( ) function in numpy takes two arguments as input : range of x-values in the grid, range of y-values in the grid whereas meshgrid needs to be built before the contourf( ) function in matplotlib is used which takes in many inputs : x-values, y-values, fitting curve (contour line) to be plotted in grid, colours etc.
 Meshgrid () function is used to create a grid using 1-D arrays of x-axis inputs and y-axis inputs to represent the matrix indexing. Contourf () is used to draw filled contours using the given x-axis inputs, y-axis inputs, contour line, colours etc."
Describe a hash table.,Hashing is a technique for identifying unique objects from a group of similar objects. Hash functions are large keys converted into small keys in hashing techniques. The values of hash functions are stored in data structures which are known hash table.
List the advantages and disadvantages of using neural networks.,"Advantages:
 We can store information on the entire network instead of storing it in a database. It has the ability to work and give a good accuracy even with inadequate information. A neural network has parallel processing ability and distributed memory.
 Disadvantages:
 Neural Networks requires processors which are capable of parallel processing. It's unexplained functioning of the network is also quite an issue as it reduces the trust in the network in some situations like when we have to show the problem we noticed to the network. Duration of the network is mostly unknown. We can only know that the training is finished by looking at the error value but it doesn't give us optimal results. "
You have to train a 12GB dataset using a neural network with a machine which has only 3GB RAM. How would you go about it?,"We can use NumPy arrays to solve this issue. Load all the data into an array. In NumPy, arrays have a property to map the complete dataset without loading it completely in memory. We can pass the index of the array, dividing data into batches, to get the data required and then pass the data into the neural networks. But be careful about keeping the batch size normal."
Write a simple code to binarize data.,"Conversion of data into binary values on the basis of certain threshold is known as binarizing of data. Values below the threshold are set to 0 and those above the threshold are set to 1 which is useful for feature engineering.
 Code: from sklearn.preprocessing import Binarizer
import pandas
import numpy
names_list = ['Alaska', 'Pratyush', 'Pierce', 'Sandra', 'Soundarya', 'Meredith', 'Richard', 'Jackson', 'Tom','Joe']
data_frame = pandas.read_csv(url, names=names_list)
array = dataframe.values
# Splitting the array into input and output 
A = array [: 0:7]
B = array [:7]
binarizer = Binarizer(threshold=0.0). fit(X)
binaryA = binarizer.transform(A)
numpy.set_printoptions(precision=5)
print (binaryA [0:7:])
"
What is an Array?,"The array is defined as a collection of similar items, stored in a contiguous manner. Arrays is an intuitive concept as the need to group similar objects together arises in our day to day lives. Arrays satisfy the same need. How are they stored in the memory? Arrays consume blocks of data, where each element in the array consumes one unit of memory. The size of the unit depends on the type of data being used. For example, if the data type of elements of the array is int, then 4 bytes of data will be used to store each element. For character data type, 1 byte will be used. This is implementation specific, and the above units may change from computer to computer.
 Example:
 fruits = ['apple', banana', pineapple']
 In the above case, fruits is a list that comprises of three fruits. To access them individually, we use their indexes. Python and C are 0- indexed languages, that is, the first index is 0. MATLAB on the contrary starts from 1, and thus is a 1-indexed language."
What are the advantages and disadvantages of using an Array?,"Advantages:
 Random access is enabled
 Saves memory
 Cache friendly
 Predictable compile timing
 Helps in re-usability of code
 Disadvantages:
 Addition and deletion of records is time consuming even though we get the element of interest immediately through random access. This is due to the fact that the elements need to be reordered after insertion or deletion.
 If contiguous blocks of memory are not available in the memory, then there is an overhead on the CPU to search for the most optimal contiguous location available for the requirement. Now that we know what arrays are, we shall understand them in detail by solving some interview questions. Before that, let us see the functions that Python as a language provides for arrays, also known as, lists.
 append()  Adds an element at the end of the listcopy()  returns a copy of a list.reverse()  reverses the elements of the listsort()  sorts the elements in ascending order by default."
What is Lists in Python?,"Lists is an effective data structure provided in python. There are various functionalities associated with the same. Let us consider the scenario where we want to copy a list to another list. If the same operation had to be done in C programming language, we would have to write our own function to implement the same.
 On the contrary, Python provides us with a function called copy. We can copy a list to another just by calling the copy function.new_list = old_list.copy()We need to be careful while using the function. copy() is a shallow copy function, that is, it only stores the references of the original list in the new list. If the given argument is a compound data structure like a †list then python creates another object of the same type (in this case, a †new list) but for everything inside old list, only their reference is copied. Essentially, the new list consists of references to the elements of the older list.
 Hence, upon changing the original list, the new list values also change. This can be dangerous in many applications. Therefore, Python provides us with another functionality called as deepcopy. † Intuitively, we may consider that deepcopy() would follow the same paradigm, and the only difference would be that for each †element we will recursively call deepcopy.  Practically, this is not the case.
 deepcopy() preserves the graphical structure of the original compound data. Let us understand this better with the help of an example:
import copy.deepcopy
a = [1,2]
b = [a,a] # there's only 1 object a
c = deepcopy(b)

# check the result by executing these lines
c[0] is a # return False, a new object a' is created
c[0] is c[1] # return True, c is [a',a'] not [a',a'']This is the tricky part, during the process of deepcopy() a hashtable implemented as a dictionary in python is used to map: old_object reference onto new_object reference.
 Therefore, this prevents unnecessary duplicates and thus preserves the structure of the copied compound data structure. Thus, in this case, c[0] is not equal to a, as internally their addresses are different.Normal copy
>>> a = [[1, 2, 3], [4, 5, 6]]
>>> b = list(a)
>>> a
[[1, 2, 3], [4, 5, 6]]
>>> b
[[1, 2, 3], [4, 5, 6]]
>>> a[0][1] = 10
>>> a
[[1, 10, 3], [4, 5, 6]]
>>> b   # b changes too -> Not a deepcopy.
[[1, 10, 3], [4, 5, 6]]
  
Deep copy
 
>>> import copy
>>> b = copy.deepcopy(a)
>>> a
[[1, 10, 3], [4, 5, 6]]
>>> b
[[1, 10, 3], [4, 5, 6]]
>>> a[0][1] = 9
>>> a
[[1, 9, 3], [4, 5, 6]]
>>> b    # b doesn't change -> Deep Copy
[[1, 10, 3], [4, 5, 6]]Now that we have understood the concept of lists, let us solve interview questions to get better exposure on the same."
"Given an array of integers where each element represents the max number of steps that can be made forward from that element. The task is to find the minimum number of jumps to reach the end of the array (starting from the first element). If an element is 0, then cannot move through that element.","In the above example we can go from 
> 2 - >3 - > 1 - > 1 - 4 jumps
1 - > 2 - > 1 - > 1 - 3 jumps
1 - > 2 - > 3 - > 1 - 3 jumpsSolution: This problem is famously called as end of array problem. We want to determine the minimum number of jumps required in order to reach the end. The element in the array represents the maximum number of jumps that, that particular element can take.
 Let us understand how to approach the problem initially.
 We need to reach the end. Therefore, let us have a count that tells us how near we are to the end. Consider the array A=[1,2,3,1,1]
 Hence, we have a fair idea of the problem. Let us come up with a logic for the same.
 Let us start from the end and move backwards as that makes more sense intuitionally. We will use variables right and prev_r denoting previous right to keep track of the jumps.
 Initially, right = prev_r = the last but one element. We consider the distance of an element to the end, and the number of jumps possible by that element. Therefore, if the sum of the number of jumps possible and the distance is greater than the previous element, then we will discard the previous element and use the second element's value to jump. Try it out using a pen and paper first. The logic will seem very straight forward to implement. Later, implement it on your own and then verify with the result.def min_jmp(arr):


    n = len(arr)
    right = prev_r = n-1
    count = 0


    # We start from rightmost index and travesre array to find the leftmost index
    # from which we can reach index 'right'
    while True:
        for j in (range(prev_r-1,-1,-1)):
            if j + arr[j] >= prev_r:
                right = j


        if prev_r != right:
            prev_r = right
        else:
            break


        count += 1


    return count if right == 0 else -1


# Enter the elements separated by a space
arr = list(map(int, input().split()))
print(min_jmp(n, arr))


"
"Given a string S consisting only 'a's and 'b's, print the last index of the 'b' present in it.","When we have are given a string of a's and b's, we can immediately find out the first location of a character occurring. Therefore, to find the last occurrence of a character, we reverse the string and find the first occurrence, which is equivalent to the last occurrence in the original string.
 Here, we are given input as a string. Therefore, we begin by splitting the characters element wise using the function split. Later, we reverse the array, find the first occurrence position value, and get the index by finding the value len  position -1, where position is the index value. def split(word):
    return [(char) for char in word]

a = input()
a= split(a)
a_rev = a[::-1]
pos = -1
for i in range(len(a_rev)):
    if a_rev[i] == 'b':
        pos = len(a_rev)- i -1
        print(pos)
        break
    else:
        continue
if pos==-1:
    print(-1)"
Rotate the elements of an array by d positions to the left.  Let us initially look at an example. ,"A = [1,2,3,4,5]
A <<2
[3,4,5,1,2]
A<<3
[4,5,1,2,3]There exists a pattern here, that is, the first d elements are being interchanged with last n-d +1 elements. Therefore we can just swap the elements. Correct? What if the size of the array is huge, say 10000 elements. There are chances of memory error, run-time error etc. Therefore, we do it more carefully. We rotate the elements one by one in order to prevent the above errors, in case of large arrays.# Rotate all the elements left by 1 position
def rot_left_once ( arr):
n = len( arr)
    tmp = arr [0]
    for i in range ( n-1): #[0,n-2]
        arr[i] = arr[i + 1]
arr[n-1] = tmp

# Use the above function to repeat the process for d times.
def rot_left (arr, d):
    n = len (arr)
    for i in range (d):
        rot_left_once ( arr, n)

arr = list( map( int, input().split()))
rot =int( input())
leftRotate ( arr, rot)

for i in range( len(arr)):
    print( arr[i], end=' ')"
Water Trapping Problem: ,"Given an array arr[] of N non-negative integers which represents the height of blocks at index I, where the width of each block is 1. Compute how much water can be trapped in between blocks after raining.
 # † Structure is like below:
 # | |
 # |_|
 # answer is we can trap two units of water.
 Solution: We are given an array, where each element denotes the height of the block. One unit of height is equal to one unit of water, given there exists space between the 2 elements to store it. Therefore, we need to find out all such pairs that exist which can store water. We need to take care of the possible cases:
 There should be no overlap of water saved
 Water should not overflow
 Therefore, let us find start with the extreme elements, and move towards the centre.
 n = int(input())
arr = [int(i) for i in input().split()]
left, right = [arr[0]], [0] * n 
# left =[arr[0]]
#right = [ 0 0 0 0 Ä¶0] n terms
right[n-1] = arr[-1] # right most element
 # we use two arrays left[ ] and right[ ], which keep track of elements greater than all# elements the order of traversal respectively.
 for elem in arr[1 : ]:
    left.append(max(left[-1], elem) )
for i in range( len( arr)-2, -1, -1):
    right[i] = max( arr[i] , right[i+1] )
water = 0
# once we have the arrays left, and right, we can find the water capacity between these arrays.

for i in range( 1, n - 1):
    add_water = min( left[i - 1], right[i]) - arr[i]
    if add_water > 0:
        water += add_water
print(water)"
Explain Eigenvectors and Eigenvalues.,"  Linear transformations are helpful to understand using eigenvectors. They find their prime usage in the creation of covariance and correlation matrices in data science.
 Simply put, eigenvectors are directional entities along which linear transformation features like compression, flip etc. can be applied.
 Eigenvalues are the magnitude of the linear transformation features along each direction of an Eigenvector."
How would you define the number of clusters in a clustering algorithm?,"  The number of clusters can be determined by finding the silhouette score. Often we aim to get some inferences from data using clustering techniques so that we can have a broader picture of a number of classes being represented by the data. In this case, the silhouette score helps us determine the number of cluster centres to cluster our data along.
 Another technique that can be used is the elbow method."
What are the performance metrics that can be used to estimate the efficiency of a linear regression model?,"  The performance metric that is used in this case is: Mean Squared Error
 R2 score
 Adjusted † R2 score
 Mean Absolute score"
What is the default method of splitting in decision trees?,"The default method of splitting in decision trees is the Gini Index. Gini Index is the measure of impurity of a particular node.
 This can be changed by making changes to classifier parameters."
How is p-value useful?,"  The p-value gives the probability of the null hypothesis is true. It gives us the statistical significance of our results. In other words, p-value determines the confidence of a model in a particular output."
Can logistic regression be used for classes more than 2?,"  No, logistic regression cannot be used for classes more than 2 as it is a binary classifier. For multi-class classification algorithms like Decision Trees, Na√Øve Bayes' Classifiers are better suited."
What are the hyperparameters of a logistic regression model?,"  Classifier penalty, classifier solver and classifier C are the trainable hyperparameters of a Logistic Regression Classifier. These can be specified exclusively with values in Grid Search to hyper tune a Logistic Classifier."
Name a few hyper-parameters of decision trees?,"  The most important features which one can tune in decision trees are:  Splitting criteria
 Min_leaves
 Min_samples
 Max_depth"
How to deal with multicollinearity?,"  Multi collinearity can be dealt with by the following steps: Remove highly correlated predictors from the model.
 Use †Partial Least Squares Regression (PLS) †or †Principal Components Analysis,"
What is  Heteroscedasticity?,"  It is a situation in which the variance of a variable is unequal across the range of values of the predictor variable.
 It should be avoided in regression as it introduces unnecessary variance."
Is ARIMA model a good fit for every time series problem?,"  No, ARIMA model is not suitable for every type of time series problem. There are situations where ARMA model and others also come in handy.
 ARIMA is best when different standard temporal structures require to be captured for time series data."
How do you deal with the class imbalance in a classification problem?,"  Class imbalance can be dealt with in the following ways: Using class weights
 Using Sampling
 Using SMOTE
 Choosing loss functions like Focal Loss"
What is the role of cross-validation?,"  Cross-validation is a technique which is used to increase the performance of a machine learning algorithm, where the machine is fed sampled data out of the same data for a few times. The sampling is done so that the dataset is broken into small parts of the equal number of rows, and a random part is chosen as the test set, while all other parts are chosen as train sets."
What is a voting model?,"  A voting model is an ensemble model which combines several classifiers but to produce the final result, in case of a classification-based model, takes into account, the classification of a certain data point of all the models and picks the most vouched/voted/generated option from all the given classes in the target column."
How to deal with very few data samples? Is it possible to make a model out of it?,"  If very few data samples are there, we can make use of oversampling to produce new data points. In this way, we can have new data points."
What are the hyperparameters of an SVM?,"  The gamma value, c value and the type of kernel are the hyperparameters of an SVM model."
What is Pandas Profiling?,  Pandas profiling is a step to find the effective number of usable data. It gives us the statistics of NULL values and the usable values and thus makes variable selection and data selection for building models in the preprocessing phase very effective.
What impact does correlation have on PCA?,  If data is correlated PCA does not work well. Because of the correlation of variables the effective variance of variables decreases. Hence correlated data when used for PCA does not work well.
How is PCA different from LDA?,"  PCA is unsupervised. LDA is unsupervised.
 PCA takes into consideration the variance. LDA takes into account the distribution of classes."
What distance metrics can be used in KNN?,"  Following distance metrics can be used in KNN. Manhattan
 Minkowski
 Tanimoto
 Jaccard
 Mahalanobis"
Which metrics can be used to measure correlation of categorical data?,  Chi square test can be used for doing so. It gives the measure of correlation between categorical predictors.
